href,year,make,model,price,trim,odometer,seller_type,date_scraped
https://www.carsales.com.au/cars/details/2019-volkswagen-golf-gti-7-5-auto-my19-5/OAG-AD-24861830/,2019,Volkswagen,Golf,31990,GTI Auto F MY19.5,70,Dealer used,2025-10-16
https://www.carsales.com.au/cars/details/2019-volkswagen-golf-gti-7-5-auto-my19-5/SSE-AD-19527103/,2019,Volkswagen,Golf,28500,GTI Auto F MY19.5,84,Private,2025-10-16
https://www.carsales.com.au/cars/details/2019-volkswagen-golf-gti-7-5-auto-my19-5/OAG-AD-24848744/,2019,Volkswagen,Golf,35950,GTI Auto F MY19.5,90,Dealer used,2025-10-16
https://www.carsales.com.au/cars/details/2019-volkswagen-golf-gti-7-5-auto-my19-5/SSE-AD-13187168/,2019,Volkswagen,Golf,33900,GTI Auto F MY19.5,68,Private,2025-10-16
https://www.carsales.com.au/cars/details/2018-volkswagen-golf-gti-7-5-auto-my18/SSE-AD-19446159/,2018,Volkswagen,Golf,25900,GTI Auto F MY18,106,Private,2025-10-16
https://www.carsales.com.au/cars/details/2018-volkswagen-golf-gti-7-5-auto-my19/SSE-AD-19556129/,2018,Volkswagen,Golf,24950,GTI Auto F MY19,46,Private,2025-10-16
https://www.carsales.com.au/cars/details/2018-volkswagen-golf-gti-7-5-auto-my18/OAG-AD-25082737/,2018,Volkswagen,Golf,29990,GTI Auto F MY18,65,Dealer used,2025-10-16
https://www.carsales.com.au/cars/details/2018-volkswagen-golf-gti-7-5-auto-my19/SSE-AD-18227098/,2018,Volkswagen,Golf,39500,GTI Auto F MY19,75,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-5-auto-my18/SSE-AD-17580357/,2017,Volkswagen,Golf,26000,GTI Auto F MY18,126,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-5-manual-my17/SSE-AD-15303227/,2017,Volkswagen,Golf,27000,GTI Manual F MY17,99,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-5-auto-my17/SSE-AD-19311614/,2017,Volkswagen,Golf,28900,GTI Auto F MY17,32,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-auto-my17/SSE-AD-18837361/,2017,Volkswagen,Golf,21000,GTI Auto F MY17,125,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-auto-my17/SSE-AD-19592062/,2017,Volkswagen,Golf,24999,GTI Auto F MY17,91,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-5-auto-my17/SSE-AD-19130843/,2017,Volkswagen,Golf,26888,GTI Auto F MY17,62,Private,2025-10-16
https://www.carsales.com.au/cars/details/2017-volkswagen-golf-gti-7-auto-my17/SSE-AD-15774946/,2017,Volkswagen,Golf,25000,GTI Auto F MY17,117,Private,2025-10-16
